qID	sentence	option1	option2	answer	ed	gender	wid	ctx	url
3UL5XDRDNCHNU1U5B4UDSHAMIIE85H-1	Adam played in emo band Texas is the Reason, of which Jason was a big fan, so _ gave him an autograph.	Adam	Jason	1	2	m	A1EPE2IRWQ9XO2	emo	https://www.wikihow.com/Look-Emo
3UL5XDRDNCHNU1U5B4UDSHAMIIE85H-2	Adam played in emo band Texas is the Reason, of which Jason was a big fan, so _ asked him for an autograph.	Adam	Jason	2	2	m	A1EPE2IRWQ9XO2	emo	https://www.wikihow.com/Look-Emo
385MDVINFCD6R158Y9ED77WDIR9JWS-1	Mary has to go back to the doctor for further testing but Susan does not because _ test results did not come back negative.	Mary	Susan	1	3	f	A3R19ZA45J8915	negative	https://www.wikihow.com/Not-Care
385MDVINFCD6R158Y9ED77WDIR9JWS-2	Mary has to go back to the doctor for further testing but Susan does not because _ test results came back negative.	Mary	Susan	2	3	f	A3R19ZA45J8915	negative	https://www.wikihow.com/Not-Care
3XD2A6FGFP838XAXCQPZDM3X91NS99-1	Adam was able to run faster than Jason, so _ finished the marathon within 1 hour.	Adam	Jason	1	1	m	A1DAKVNZ5LJEL4	run	https://www.wikihow.com/Quickly-Regain-Your-Balance
3XD2A6FGFP838XAXCQPZDM3X91NS99-2	Adam was able to run faster than Jason, so _ finished the marathon after 1 hour.	Adam	Jason	2	1	m	A1DAKVNZ5LJEL4	run	https://www.wikihow.com/Quickly-Regain-Your-Balance
3HJ1EVZS2OHQYRMXWUCK4177U9K3RX-1	Mary had always really loved to party but Susan did not because _ was very extroverted.	Mary	Susan	1	1	f	A1WAWEY2810TFN	party	https://www.wikihow.com/Organize-a-Birthday-Party-for-Kids
3HJ1EVZS2OHQYRMXWUCK4177U9K3RX-2	Mary had always really loved to party but Susan did not because _ was very introverted.	Mary	Susan	2	1	f	A1WAWEY2810TFN	party	https://www.wikihow.com/Organize-a-Birthday-Party-for-Kids
3T8DUCXY0N4PT8O5HSIPVTBBIMQT9G-1	Mary studied hard for their math test but Susan did not. _ got a passing grade on their test.	Mary	Susan	1	1	f	A38DXFI1TZA295	math	https://www.wikihow.com/Ace-a-Math-Test
3T8DUCXY0N4PT8O5HSIPVTBBIMQT9G-2	Mary studied hard for their math test but Susan did not. _ got a failing grade on their test.	Mary	Susan	2	1	f	A38DXFI1TZA295	math	https://www.wikihow.com/Ace-a-Math-Test
3WRKFXQBOB5ELVG2VSB1G32TGG7IYT-1	When asked a favour Adam could never refuse but Jason easily could because _ was a very giving person.	Adam	Jason	1	1	m	A1WAWEY2810TFN	refuse	https://www.wikihow.com/Help-Kidney-Failure-Patients-Who-Refuse-Dialysis
3WRKFXQBOB5ELVG2VSB1G32TGG7IYT-2	When asked a favour Adam could never refuse but Jason easily could because _ was a very taking person.	Adam	Jason	2	1	m	A1WAWEY2810TFN	refuse	https://www.wikihow.com/Help-Kidney-Failure-Patients-Who-Refuse-Dialysis
3XAOZ9UYRZPUCNTIWB91BII509SQ1R-1	Adam went to Jason for guitar lessons because _ was a novice at playing the instrument.	Adam	Jason	1	2	m	A2Q3FS9G8ITCN7	guitar	https://www.wikihow.com/Teach-Guitar
3XAOZ9UYRZPUCNTIWB91BII509SQ1R-2	Adam went to Jason for guitar lessons because _ was an expert at playing the instrument.	Adam	Jason	2	2	m	A2Q3FS9G8ITCN7	guitar	https://www.wikihow.com/Teach-Guitar
3LXX8KJXPW79GGJXLBWQ1J5OJLPO9J-1	An office job was perfect for Adam while Jason needed something more active. _ hated being on their feet all day.	Adam	Jason	1	1	m	AN9MVFWRCF2OP	feet	https://www.wikihow.com/Get-Rid-of-Corns
3LXX8KJXPW79GGJXLBWQ1J5OJLPO9J-2	An office job was perfect for Adam while Jason needed something more active. _ enjoyed being on their feet all day.	Adam	Jason	2	1	m	AN9MVFWRCF2OP	feet	https://www.wikihow.com/Get-Rid-of-Corns
39RRBHZ0AWFY6G9EAJO31XPXN86ZV1-1	The eggs from Adam's farm taste better than the ones Jason produces. _ likely has healthier chickens.	Adam	Jason	1	1	m	A1GV0UZU0T2ORS	eggs	https://www.wikihow.com/Cook-Eggs
39RRBHZ0AWFY6G9EAJO31XPXN86ZV1-2	The eggs from Adam's farm taste better than the ones Jason produces. _ likely has unhealthy chickens.	Adam	Jason	2	1	m	A1GV0UZU0T2ORS	eggs	https://www.wikihow.com/Cook-Eggs
