qID	sentence	option1	option2	answer	ed	gender	wid	ctx	url
801-1	Mary told Susan that _ must be hungry because they can hear their intestines gurgling.	Mary	Susan	1	1	f	A11BSFO4LMHPXQ	intestines	https://www.wikihow.com/Kill-E.-Coli-in-Your-Body
801-2	Mary told Susan that _ must be tired because they can hear their intestines gurgling.	Mary	Susan	2	1	f	A11BSFO4LMHPXQ	intestines	https://www.wikihow.com/Kill-E.-Coli-in-Your-Body
803-1	Adam was disappointed in the criticism Jason heaped on the writing that _ did in English class.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	writing	https://www.wikihow.com/Write-a-Chicago-Style-Essay
803-2	Adam was disappointed in the criticism Jason heaped on the writing that _ did in Biology class.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	writing	https://www.wikihow.com/Write-a-Chicago-Style-Essay
808-1	Adam was nervous about having Jason meet the parents of _ for dinner last week.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	parents	https://www.wikihow.com/Be-Friends-with-Your-Parents
808-2	Adam was excited about having Jason meet the parents of _ for dinner last week.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	parents	https://www.wikihow.com/Be-Friends-with-Your-Parents
617-1	Mary cooked shrimp for Susan when they accepted a first date when _ asked them.	Mary	Susan	1	1	f	A11BSFO4LMHPXQ	shrimp	https://www.wikihow.com/Care-for-Sea-Monkeys
617-2	Mary chilled shrimp for Susan when they accepted a first date when _ asked them.	Mary	Susan	2	1	f	A11BSFO4LMHPXQ	shrimp	https://www.wikihow.com/Care-for-Sea-Monkeys
814-1	Adam and Jason admired the peppers grown in the garden that _ put out last summer.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	peppers	https://www.wikihow.com/Store-Bell-Peppers
814-2	Adam and Jason admired the peppers that died in the garden that _ put out last summer.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	peppers	https://www.wikihow.com/Store-Bell-Peppers
221-1	Mary broke Susan's heart when _ found out that they cheated on them with a stripper.	Mary	Susan	1	4	f	A11BSFO4LMHPXQ	heart	https://www.wikihow.com/Treat-an-Enlarged-Heart-Naturally
221-2	Mary healed Susan's heart when _ found out that they did not cheat on them with a stripper.	Mary	Susan	2	4	f	A11BSFO4LMHPXQ	heart	https://www.wikihow.com/Treat-an-Enlarged-Heart-Naturally
424-1	Adam told Jason to drink the water that _ bought to help with constant dehydration.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	water	https://www.wikihow.com/Treat-Giardiasis
424-2	Adam told Jason to drink the water that _ bought to help with kidney stones.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	water	https://www.wikihow.com/Treat-Giardiasis
29-1	Adam asked Jason to clean the microwave while visiting _ at the house yesterday evening.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	microwave	https://www.wikihow.com/Make-a-Microwave-Omelet
29-2	Adam asked Jason to use the microwave while visiting _ at the house yesterday evening.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	microwave	https://www.wikihow.com/Make-a-Microwave-Omelet
834-1	Adam was thrilled Jason liked the flavor _ put in his newest recipe of spaghetti.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	flavor	https://www.wikihow.com/Freeze-Bean-Sprouts
834-2	Adam was sad Jason liked the flavor _ put in his newest recipe of spaghetti.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	flavor	https://www.wikihow.com/Freeze-Bean-Sprouts
436-1	Adam was not happy that Jason was looking intimately at _ 's body while undressed.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	body	https://www.wikihow.com/Size-an-Overcoat
436-2	Adam was  really thrilled that Jason was looking intimately at _ 's body while undressed.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	body	https://www.wikihow.com/Size-an-Overcoat
841-1	Adam asks Jason to please read the service manual before servicing the car for _ tomorrow.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	manual	https://www.wikihow.com/Change-a-Timing-Belt
841-2	Adam asks Jason to please read the service manual before washing the car for _ tomorrow.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	manual	https://www.wikihow.com/Change-a-Timing-Belt
240-1	Adam bought Jason a multimeter to use when checking the wiring at the new house _ bought.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	multimeter	https://www.wikihow.com/Use-a-Digital-Multimeter
240-2	Adam bought Jason a multimeter to use when checking the wiring at the new house _ sold.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	multimeter	https://www.wikihow.com/Use-a-Digital-Multimeter
42-1	Adam wanted to serve Jason a  green cucumber from _ 's garden last night for dinner.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	cucumber	https://www.wikihow.com/Make-a-Cucumber-Cream-Cheese-Sandwich
42-2	Adam wanted to serve Jason a green cucumber from _ 's grocery last night for dinner.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	cucumber	https://www.wikihow.com/Make-a-Cucumber-Cream-Cheese-Sandwich
442-1	Adam was not happy that Jason bought a dog and brought it to _ 's house.	Adam	Jason	1	2	m	A11BSFO4LMHPXQ	dog	https://www.wikihow.pet/Break-Up-a-Dog-Fight
442-2	Adam was excited that Jason bought a dog and brought it to _ 's house.	Adam	Jason	2	2	m	A11BSFO4LMHPXQ	dog	https://www.wikihow.pet/Break-Up-a-Dog-Fight
844-1	Adam told Jason to wash their hands in hot water before _ got sick from the virus.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	sick	https://www.wikihow.pet/Prevent-Gastrointestinal-Problems-in-Guinea-Pigs
844-2	Adam told Jason to wash their hands in hot water before _ got sick from the bacteria.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	sick	https://www.wikihow.pet/Prevent-Gastrointestinal-Problems-in-Guinea-Pigs
845-1	Adam is angry that _ believes Jason is judging them on their new green jacket.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	judging	https://www.wikihow.com/Help-Paranoid-People
845-2	Adam is thrilled that _ believes Jason is judging them on their new green jacket.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	judging	https://www.wikihow.com/Help-Paranoid-People
847-1	Adam wanted Jason to train the dog that _ bought at a pet shop on the weekend.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	train	https://www.wikihow.com/Train-Dalmatians
847-2	Adam wanted Jason to train the cat that _ bought at a pet shop on the weekend.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	train	https://www.wikihow.com/Train-Dalmatians
256-1	Adam told Jason to wait a month before going to buy _ a new car from the dealer.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	month	https://www.wikihow.com/Ship-a-Dog
256-2	Adam told Jason to wait a month after going to buy _ a new car from the dealer.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	month	https://www.wikihow.com/Ship-a-Dog
670-1	Adam has Jason look in the mirror to watch _ flex their biceps while working out together.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	flex	https://www.wikihow.com/Get-Bigger-Biceps
670-2	Adam has Jason look in the mirror to watch _ flex their triceps while working out together.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	flex	https://www.wikihow.com/Get-Bigger-Biceps
65-1	Mary was angry that Susan stole the leather jacket that _ bought last week at the mall.	Mary	Susan	1	1	f	A11BSFO4LMHPXQ	leather	https://www.wikihow.com/Act-Like-Steven-Seagal
65-2	Mary was angry that Susan ruined the leather jacket that _ bought last week at the mall.	Mary	Susan	2	1	f	A11BSFO4LMHPXQ	leather	https://www.wikihow.com/Act-Like-Steven-Seagal
868-1	Adam tells Jason that _ looks beautiful if more makeup is worn when they go out dancing.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	makeup	https://www.wikihow.com/Buy-Quality-Makeup-at-the-Dollar-Store
868-2	Adam tells Jason that _ looks atrocious if more makeup is worn when they go out dancing.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	makeup	https://www.wikihow.com/Buy-Quality-Makeup-at-the-Dollar-Store
683-1	With the phone in their hand, Adam shoves Jason outside of _ 's house with vigor.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	phone	https://www.wikihow.com/Tell-if-a-Sony-Phone-Is-Original
683-2	With the phone in their hand, Adam lets Jason outside of _ 's house with vigor.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	phone	https://www.wikihow.com/Tell-if-a-Sony-Phone-Is-Original
880-1	Adam was embarrassed to know that Jason saw _ dance with an ugly old man outside.	Adam	Jason	1	1	m	A11BSFO4LMHPXQ	dance	https://www.wikihow.com/Be-Good-at-Capoeira
880-2	Adam was proud to know that Jason saw _ dance with an ugly old man outside.	Adam	Jason	2	1	m	A11BSFO4LMHPXQ	dance	https://www.wikihow.com/Be-Good-at-Capoeira
